family,model,balanced_accuracy,ba_std,sensitivity,sens_std,specificity,spec_std
Classical,Random Forest,0.56,0.08,0.43,0.19,0.70,0.14
Classical,Naive Bayes,0.54,0.06,0.75,0.18,0.32,0.12
Classical,kNN,0.53,0.12,0.52,0.23,0.54,0.13
Classical,Logistic Regression,0.63,0.09,0.59,0.19,0.66,0.11
Classical,SVM (linear),0.61,0.07,0.63,0.21,0.58,0.20
Classical,SVM (RBF),0.62,0.08,0.62,0.17,0.61,0.13
Classical,AdaBoost,0.58,0.10,0.47,0.26,0.70,0.16
Classical,XGBoost,0.57,0.08,0.36,0.18,0.78,0.08
BERT,BERT (lr 1e-6),0.48,0.03,0.00,0.00,1.00,0.00
BERT,BERT (lr 5e-6),0.45,0.04,,,,
